# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1786904355.711841,C,BULK,OUT,6,1,16,0,3,0,,
1786904355.712316,S,BULK,OUT,6,1,16,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1786904355.712358,C,BULK,OUT,6,1,16,0,27,0,,
1786904355.712441,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.713516,C,BULK,IN,5,1,16,0,3,3,,064009
1786904355.713650,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.713671,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.713752,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.714139,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.714231,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.714251,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.714372,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.715106,C,BULK,IN,5,1,16,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1786904355.715459,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904355.715481,C,BULK,OUT,6,1,16,0,3,0,,
1786904355.716528,S,BULK,OUT,6,1,16,4294967181,27,27,,400917c000090200aa000000000000000000000000000000060a1a
1786904355.716568,C,BULK,OUT,6,1,16,0,27,0,,
1786904355.716720,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.717776,C,BULK,IN,5,1,16,0,3,3,,064009
1786904355.717915,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.717938,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.718029,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.718408,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.718542,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.718565,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.718709,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.719462,C,BULK,IN,5,1,16,0,35,35,,44091fc000090200aa000000000000090a0001aa000000003932313831352020432f74
1786904355.719578,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904355.719598,C,BULK,OUT,6,1,16,0,3,0,,
1786904355.719982,S,BULK,OUT,6,1,16,4294967181,26,26,,400916c000ff0100aa0000000000000000000000000000000135
1786904355.720029,C,BULK,OUT,6,1,16,0,26,0,,
1786904355.720139,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.721313,C,BULK,IN,5,1,16,0,3,3,,064009
1786904355.721462,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.721487,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.721600,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.722017,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.722249,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.722274,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.722478,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.723642,C,BULK,IN,5,1,16,0,64,64,,440945c000ff0100aa000000000000ff300001aa00000000424f4f54315f5053415f58535f5f00503130373434312d200056312e302e33004041435449410032
1786904355.723769,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.723879,C,BULK,IN,5,1,16,0,9,9,,322e30322e3037007a
1786904355.723989,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904355.724014,C,BULK,OUT,6,1,16,0,3,0,,
1786904355.724588,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000120000aa00000000000000000000000000000025
1786904355.724628,C,BULK,OUT,6,1,16,0,25,0,,
1786904355.724838,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.752133,C,BULK,IN,5,1,16,0,3,3,,064000
1786904355.752669,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.752717,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.752905,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.753020,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.753201,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.753249,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.753413,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.754328,C,BULK,IN,5,1,16,0,64,64,,440945c0001200000000000000000012300003aa000000004150504c495f58535f46756a695f005031303631333841200056342e332e37004041435449410032
1786904355.754469,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.754513,C,BULK,IN,5,1,16,0,9,9,,372e31302e3137007c
1786904355.754649,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904355.754688,C,BULK,OUT,6,1,16,0,3,0,,
1786904355.755105,S,BULK,OUT,6,1,16,4294967181,26,26,,400916c000ff0100aa0000000000000000000000000000000135
1786904355.755160,C,BULK,OUT,6,1,16,0,26,0,,
1786904355.755311,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.756168,C,BULK,IN,5,1,16,0,3,3,,064009
1786904355.756314,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904355.756351,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.756489,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.756636,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904355.756760,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904355.756796,C,BULK,OUT,6,1,16,0,5,0,,
1786904355.756914,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.757880,C,BULK,IN,5,1,16,0,64,64,,440945c000ff0100aa000000000000ff300001aa000000004150504c495f58535f46756a695f005031303631333841200056342e332e37004041435449410032
1786904355.758000,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904355.758081,C,BULK,IN,5,1,16,0,9,9,,372e31302e313700f9
1786904355.758302,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904355.758329,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.384569,S,BULK,OUT,6,1,16,4294967181,27,27,,400917c000090200aa00000000000000000000000000000016060e
1786904356.384651,C,BULK,OUT,6,1,16,0,27,0,,
1786904356.384946,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.385613,C,BULK,IN,5,1,16,0,3,3,,064009
1786904356.385893,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.385918,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.386184,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.386211,C,BULK,IN,5,1,16,0,4,4,,42410900
